Entity,Code,Year,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",time
Afghanistan,AFG,2021,98.169624,2021
Albania,ALB,2021,70.85427,2021
Algeria,DZA,2021,63.7641,2021
Angola,AGO,2021,20.784925,2021
Antigua and Barbuda,ATG,2021,15.652174,2021
Argentina,ARG,2021,73.928,2021
Armenia,ARM,2021,76.0364,2021
Australia,AUS,2021,67.83555,2021
Austria,AUT,2021,3.9490447,2021
Azerbaijan,AZE,2021,92.24244,2021
Bahrain,BHR,2021,33.310314,2021
Bangladesh,BGD,2021,87.817116,2021
Barbados,BRB,2021,67.65432,2021
Belarus,BLR,2021,27.789474,2021
Belgium,BEL,2021,1.1580566,2021
Belize,BLZ,2021,67.72277,2021
Benin,BEN,2021,25.213675,2021
Bhutan,BTN,2021,94.08284,2021
Bolivia,BOL,2021,87.07838,2021
Botswana,BWA,2021,33.387123,2021
Brazil,BRA,2021,61.313328,2021
Brunei,BRN,2021,5.7608695,2021
Bulgaria,BGR,2021,13.101228,2021
Burkina Faso,BFA,2021,51.430317,2021
Burundi,BDI,2021,79.25741,2021
Cambodia,KHM,2021,94.00183,2021
Cameroon,CMR,2021,67.71407,2021
Canada,CAN,2021,11.433058,2021
Cape Verde,CPV,2021,42.52555,2021
Central African Republic,CAF,2021,0.55172414,2021
Chad,TCD,2021,76.4211,2021
Chile,CHL,2021,90.88663,2021
China,CHN,2021,62.14454,2021
Colombia,COL,2021,86.737976,2021
Comoros,COM,2021,47,2021
Congo,COG,2021,4.36205,2021
Costa Rica,CRI,2021,60.71933,2021
Cote d'Ivoire,CIV,2021,51.635113,2021
Croatia,HRV,2021,7.5848303,2021
Cuba,CUB,2021,64.93749,2021
Cyprus,CYP,2021,62.283737,2021
Czechia,CZE,2021,2.7427723,2021
Democratic Republic of Congo,COD,2021,10.517847,2021
Denmark,DNK,2021,54.006535,2021
Djibouti,DJI,2021,15.789474,2021
Dominica,DMA,2021,5,2021
Dominican Republic,DOM,2021,83.31222,2021
East Timor,TLS,2021,91.382256,2021
Ecuador,ECU,2021,81.427704,2021
Egypt,EGY,2021,79.16129,2021
El Salvador,SLV,2021,46.271008,2021
Equatorial Guinea,GNQ,2021,5.050505,2021
Eritrea,ERI,2021,94.50172,2021
Estonia,EST,2021,0.4972614,2021
Eswatini,SWZ,2021,94.194756,2021
Ethiopia,ETH,2021,91.83644,2021
Fiji,FJI,2021,58.892815,2021
Finland,FIN,2021,28.571428,2021
France,FRA,2021,13.944409,2021
Gabon,GAB,2021,28.971962,2021
Gambia,GMB,2021,38.582676,2021
Georgia,GEO,2021,46.605923,2021
Germany,DEU,2021,4.1665916,2021
Ghana,GHA,2021,73.05749,2021
Greece,GRC,2021,80.37077,2021
Grenada,GRD,2021,14.893617,2021
Guatemala,GTM,2021,56.737164,2021
Guinea,GIN,2021,67.41573,2021
Guinea-Bissau,GNB,2021,75.789474,2021
Guyana,GUY,2021,94.34485,2021
Haiti,HTI,2021,83.37931,2021
Honduras,HND,2021,73.30429,2021
Hungary,HUN,2021,11.759275,2021
Iceland,ISL,2021,0.10779734,2021
India,IND,2021,90.40736,2021
Indonesia,IDN,2021,85.206726,2021
Iran,IRN,2021,92.17577,2021
Iraq,IRQ,2021,73.47021,2021
Ireland,IRL,2021,2.5300443,2021
Israel,ISR,2021,48.396946,2021
Italy,ITA,2021,50.16229,2021
Jamaica,JAM,2021,17.06287,2021
Japan,JPN,2021,67.94381,2021
Jordan,JOR,2021,51.64546,2021
Kazakhstan,KAZ,2021,62.69337,2021
Kenya,KEN,2021,80.208336,2021
Kuwait,KWT,2021,62.272,2021
Kyrgyzstan,KGZ,2021,92.68929,2021
Laos,LAO,2021,95.918365,2021
Latvia,LVA,2021,30.53126,2021
Lebanon,LBN,2021,38.04348,2021
Lesotho,LSO,2021,8.675799,2021
Liberia,LBR,2021,8.430431,2021
Libya,LBY,2021,83.19039,2021
Lithuania,LTU,2021,22.461575,2021
Luxembourg,LUX,2021,0,2021
Madagascar,MDG,2021,95.89213,2021
Malawi,MWI,2021,85.9375,2021
Malaysia,MYS,2021,45.645042,2021
Maldives,MDV,2021,4.545666,2021
Mali,MLI,2021,97.85962,2021
Malta,MLT,2021,36.67481,2021
Mauritania,MRT,2021,90.57917,2021
Mauritius,MUS,2021,49.752068,2021
Mexico,MEX,2021,75.67931,2021
Moldova,MDA,2021,6.8922305,2021
Monaco,MCO,2021,0,2021
Mongolia,MNG,2021,54.26038,2021
Montenegro,MNE,2021,1.0565568,2021
Morocco,MAR,2021,87.77682,2021
Mozambique,MOZ,2021,73.0482,2021
Myanmar,MMR,2021,88.55573,2021
Namibia,NAM,2021,69.791664,2021
Nepal,NPL,2021,98.13522,2021
Netherlands,NLD,2021,1.0359491,2021
New Zealand,NZL,2021,65.58773,2021
Nicaragua,NIC,2021,85.04495,2021
Niger,NER,2021,91.02311,2021
Nigeria,NGA,2021,44.168335,2021
North Korea,PRK,2021,76.34734,2021
North Macedonia,MKD,2021,31.534264,2021
Norway,NOR,2021,31.956217,2021
Oman,OMN,2021,80.78329,2021
Pakistan,PAK,2021,93.97656,2021
Palestine,PSE,2021,49.224453,2021
Panama,PAN,2021,36.82516,2021
Papua New Guinea,PNG,2021,0.25503698,2021
Paraguay,PRY,2021,78.61583,2021
Peru,PER,2021,85.084305,2021
Philippines,PHL,2021,76.23379,2021
Poland,POL,2021,14.153251,2021
Portugal,PRT,2021,55.75642,2021
Puerto Rico,PRI,2021,3.466178,2021
Qatar,QAT,2021,33.307278,2021
Romania,ROU,2021,31.536114,2021
Russia,RUS,2021,28.756557,2021
Rwanda,RWA,2021,59.18033,2021
Saint Kitts and Nevis,KNA,2021,1.2820513,2021
Saint Lucia,LCA,2021,70.86247,2021
Saint Vincent and the Grenadines,VCT,2021,0,2021
Sao Tome and Principe,STP,2021,62.591686,2021
Saudi Arabia,SAU,2021,81.56356,2021
Senegal,SEN,2021,91.313896,2021
Serbia,SRB,2021,12.532172,2021
Seychelles,SYC,2021,6.569343,2021
Sierra Leone,SLE,2021,21.536287,2021
Singapore,SGP,2021,4,2021
Slovakia,SVK,2021,5.3737497,2021
Slovenia,SVN,2021,0.32223415,2021
Somalia,SOM,2021,99.484535,2021
South Africa,ZAF,2021,61.32422,2021
South Korea,KOR,2021,58.932133,2021
South Sudan,SSD,2021,36.474163,2021
Spain,ESP,2021,65.33425,2021
Sri Lanka,LKA,2021,87.36289,2021
Sudan,SDN,2021,96.19454,2021
Suriname,SUR,2021,69.99513,2021
Sweden,SWE,2021,4.9323015,2021
Switzerland,CHE,2021,9.325489,2021
Syria,SYR,2021,87.52774,2021
Tajikistan,TJK,2021,74.52525,2021
Tanzania,TZA,2021,89.35185,2021
Thailand,THA,2021,90.37448,2021
Togo,TGO,2021,34.08072,2021
Trinidad and Tobago,TTO,2021,4.3580375,2021
Tunisia,TUN,2021,75.542175,2021
Turkey,TUR,2021,77.054794,2021
Turkmenistan,TKM,2021,92.7487,2021
Uganda,UGA,2021,40.65934,2021
Ukraine,UKR,2021,30.996048,2021
United Arab Emirates,ARE,2021,45.667034,2021
United Kingdom,GBR,2021,14.049881,2021
United States,USA,2021,39.658783,2021
Uruguay,URY,2021,86.61202,2021
Uzbekistan,UZB,2021,90.912,2021
Venezuela,VEN,2021,73.85211,2021
Vietnam,VNM,2021,94.782394,2021
Yemen,YEM,2021,90.74334,2021
Zambia,ZMB,2021,73.28244,2021
Zimbabwe,ZWE,2021,87.20018,2021